endpoint_identifier,entry_idx,output
https://seshat-db.com/api/wf/modern-fortifications/,0,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,1,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,2,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,3,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,4,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,5,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,6,present<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,7,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,8,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,9,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,10,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,11,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,12,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,13,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,14,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,15,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,16,present<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,17,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,18,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,19,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,20,present<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,21,present<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,22,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,23,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,24,present<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,25,present<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,26,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,27,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,28,present<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,29,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,30,present<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,31,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,32,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,33,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,34,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,35,present<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,36,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,37,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,38,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,39,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,40,present<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,41,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,42,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,43,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,44,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,45,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,46,absent<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,47,present<|endoftext|>
https://seshat-db.com/api/wf/modern-fortifications/,48,absent<|endoftext|>
